GEOID,NAME,ABBR,year,index_eq_community_living,index_eq_living_arrangements,index_eq_community_participation,index_eq_commute,index_eq_education,index_eq_insurance,index_eq_tech,index_eq_all_work_indicators,index_eq_work_economic,index_eq_housing_affordability,index_eq_negative_work,index_eq_positive_work,index_eq_adaparc,index_rel_community_living,index_rel_community_resource,index_rel_housing_access,index_rel_living_arrangements,index_rel_community_participation,index_rel_commute,index_rel_education,index_rel_insurance,index_rel_safety,index_rel_tech,index_rel_all_work_indicators,index_rel_work_economic,index_rel_housing_affordability,index_rel_negative_work,index_rel_positive_work,index_rel_adaparc,index_adaparc
24,Maryland,MD,2024,61.79393789260456,61.79393789260456,55.71219974227732,54.939243550072234,43.52344357266435,49.5019937659668,74.88411808040591,44.552456428246515,33.3484262869744,22.144396145702288,53.81585202930872,35.28906082718431,50.28485464061876,53.86224426928776,77.09961339331431,40.13895195226317,44.3481674622858,65.63337688958462,71.38248642250934,73.00669274701893,70.53582134509583,33.707527062577824,79.5343568707212,73.1993429500692,77.57095280330637,81.94256265654354,57.43992956675578,88.95875633338261,65.68885798739292,57.98685631400584
23,Maine,ME,2024,44.90669240185059,44.90669240185059,36.08773525838105,37.63994102538823,32.18414810381474,43.262824878458616,31.264027025862607,62.52568253930626,69.88949788523614,77.25331323116602,87.14968739003261,37.9016776885799,50.294641848489256,65.94351008627154,62.73788943491542,87.41873967052447,47.673901153374736,59.903707935138,39.98130550228129,71.23799935104472,62.768441992607826,84.68012923291275,40.85066359684346,27.85103570857664,24.36325675761959,20.87547780666254,44.62114570798003,11.080925709173256,50.07015825967638,50.18240005408282
26,Michigan,MI,2024,55.637355892365264,55.637355892365264,46.602213084920216,38.62403570895411,51.84794405476837,52.954295950454274,42.98257662550409,47.77649049829039,58.29787274204722,68.81925498580405,59.27139134978592,36.28158964679486,53.5124805731109,46.075193568383696,15.474467393541296,66.16774362600943,56.58336968560036,48.37446494419764,38.57314205093252,39.933826863873634,65.46071413455148,51.56472237065633,46.33991930097426,30.114474572114183,28.21790925823448,26.32134394435477,35.847628829872654,24.381320314355715,40.88918925693861,47.20083491502476
27,Minnesota,MN,2024,41.15843913191933,41.15843913191933,43.84596051660901,53.258504186453514,26.97757697437261,55.986545498022544,39.16121540758734,50.79667491950334,56.8607547944076,62.92483466931185,67.0852234114033,34.50812642760337,47.288384814311975,64.28821161708292,93.1116740936063,60.98300335206784,38.7699574055746,65.1089747576646,61.752643956888136,72.54159087961807,60.602717365368584,71.01645146153012,59.6314701249181,60.057418136198834,58.32080004291008,56.58418194962133,61.00993454354799,59.10490172884968,62.5726621392192,54.930523476765586
29,Missouri,MO,2024,49.133775293817834,49.133775293817834,46.731635239875075,37.07066768214813,50.73010911448933,57.04004630938538,42.08571785347746,54.05483192903024,69.90295263660065,85.75107334417103,65.72326555082475,42.38639830723573,55.25612105676452,51.66349810944214,66.0367381250087,39.98127589240228,48.97248031091543,36.43206478497473,37.21194985678925,36.23837858500019,31.83458640257645,36.29043110130008,40.58497797920763,43.08717330410471,38.809449907690976,34.53172651127725,52.365842950772674,33.808503657436745,42.30167093403595,48.778895995400234
28,Mississippi,MS,2024,42.90978736502909,42.90978736502909,50.56528359713997,40.74907174251896,84.54642133540074,48.80327704300381,28.162364267636352,52.879880091233304,62.9921202714342,73.1043604516351,44.565166410221536,61.19459377224508,52.15573041120109,28.53237870172949,15.227064245767831,8.332355112188058,62.03771674723258,27.791246318905895,17.072245492328566,9.562113727115054,24.39825136239607,72.12104665994968,15.802574352740097,23.295432775158993,17.844733207082488,12.394033639005984,32.9992384894549,13.591627060863084,24.72278607590596,38.439258243553525
30,Montana,MT,2024,52.45784940782958,52.45784940782958,46.728627953667775,47.37375486107474,46.24918174941863,50.05328545669346,43.23828974748428,53.67984678300504,53.92273703018232,54.1656272773596,30.99616419584835,76.36352937016173,51.03640479722656,50.709854174117055,55.650684798385555,50.37433088936005,46.10454683460556,51.7929743398121,40.15172251682911,77.59990580338396,47.76387942211275,54.58675502384352,38.86260893289114,64.0306745625777,58.06012682676629,52.08957909095489,75.82140878217427,52.23994034298113,53.52098511356515,52.278694955395856
37,North Carolina,NC,2024,45.89455849494897,45.89455849494897,51.62767446255286,65.64530221933487,49.8704485990568,54.210201625971195,36.784745405848575,51.479522553656366,52.01872027479369,52.55791799593101,50.5655065854882,52.39353852182453,49.846984410765174,33.79386967900556,11.585938206046256,24.55331964132016,65.24235118965026,38.06969746062735,32.16471921594943,40.730409450444526,37.30534857133264,38.538504833226355,41.60950523218381,44.11755308872858,51.15937804807574,58.2012030074229,47.8250235058584,40.41008267159875,41.00764839590288,45.42731640333403
38,North Dakota,ND,2024,40.37542361137207,40.37542361137207,36.69129953053411,38.47410480952479,43.968735782903366,55.24350553056134,9.07885199914694,52.888085865649074,70.66002389190194,88.43196191815483,53.68565349509522,52.09051823620293,49.24224901126937,44.59187701228273,47.384589261635334,54.46252645185401,31.928515323358845,39.3733810368016,25.001915147663212,55.799828460840615,48.440537362322885,42.4471153586873,25.177508854494004,80.11586445624607,71.50394336341412,62.892022270582174,74.14226330605754,86.08946560643462,51.823067137499486,50.53265807438443
31,Nebraska,NE,2024,49.64272160594382,49.64272160594382,38.386859693858014,21.070952954208792,35.654324626496134,59.66315664023023,37.15900455449691,54.233334824548656,64.59707964286649,74.96082446118432,47.356770288546464,61.10989936055085,50.8755536475561,50.43962180786526,59.00717196020445,45.614292842285,46.697400621106326,48.97910058673537,31.473456975191,61.60222266643589,47.87111780867432,58.09181240359983,45.8568930797758,75.81058888448291,68.52331541412941,61.23604194377591,77.61455349599976,74.00662427296606,55.98067926957668,53.42811645856639
33,New Hampshire,NH,2024,37.284364326902434,37.284364326902434,46.14058477689042,24.43542793505592,36.17085701254745,52.34870868157693,71.60734547838136,44.40485964695473,48.20433054402535,52.00380144109598,56.552151873364835,32.257567420544625,43.876426549272736,66.90225132877688,53.64757487908246,96.23837830507472,50.82080080217347,69.15866121833331,38.235584505912954,83.00175615601674,65.36958282804746,84.82982082461578,74.3565617770736,70.04445945181537,56.41020901956563,42.77595858731589,78.24482817721314,61.8440907264176,64.15704052222527,54.016733535749005
34,New Jersey,NJ,2024,50.1462949511601,50.1462949511601,49.5622718602425,53.55200728462738,40.27177694761041,50.43943895987474,53.98586424885747,36.68480997813195,20.73587602466651,4.786942071201068,44.80137231990299,28.56824763636091,40.14814761202303,54.381252698478384,71.56853139666057,30.8104507156967,60.764775983077854,65.79320994257894,76.97599378101134,59.6180620175976,54.476364559054616,74.65282436263792,63.24280499259325,63.982232315102834,68.28313800743368,72.584043699764507,49.77238328736595,78.19208134283971,62.819200216163665,51.483673914093345
35,New Mexico,NM,2024,60.30425604014793,60.30425604014793,42.67065670597787,28.243411804209067,63.1316249219658,38.98461925497213,40.32297084276448,53.95066885498774,59.285456524644474,64.62024419430121,37.40565798971676,70.49567972025872,54.08678975692342,66.27023040052119,65.95244342523637,70.00149701779145,62.85675075853575,30.751744574193584,34.5284857255709,42.02893812261142,49.46489921845754,2.510724078547007,25.22567572578104,21.988644923691385,23.008757727907355,24.028870532123324,26.829275148224337,17.148014699158434,40.01024423420737,47.04851699556539
32,Nevada,NV,2024,48.1624062907788,48.1624062907788,58.29922701950768,44.31163829252039,53.358511074787614,38.83851924877438,96.68823946194831,54.76626709503898,37.390937680074416,20.01560826510986,14.83960908063741,94.69292510944054,47.95085699678697,54.12945428838824,30.87272991827343,50.263558015320946,81.25207493157035,47.45139901473596,55.06239715831512,42.792607624810664,36.865013231139805,14.618809977654216,87.91816708175998,65.2382586580159,56.60912847197707,47.97999828593824,55.35806104178499,75.11845627424678,52.72999392503376,50.34042546091037
36,New York,NY,2024,48.11065325481346,48.11065325481346,49.1795371036971,49.67193281547868,55.29351547455858,50.3081769626856,41.44452316206554,52.82358717095137,31.908604333782424,10.993621496613478,73.48676259707662,32.16041174482612,43.06626489743099,45.311407779984584,58.82585943440306,39.98721453793626,37.12114936761444,52.109042699217376,99.68878750882875,37.80296161031832,66.64632368388015,17.245942933894632,39.161197759165006,22.38653840495309,42.849508206044426,63.31247800713576,18.76021298921881,26.012863820687368,46.756652895082134,44.91145889625656
39,Ohio,OH,2024,53.45987142256162,53.45987142256162,45.95893219339899,44.1903897243126,49.377208160684134,50.76312415031066,39.50500673828855,47.058408894252864,63.99960192677786,80.94079495930286,69.1546577255183,24.962160062987422,54.47280184757949,43.61281298220357,50.04800054670882,37.87322197023967,42.917216429662226,42.803501466187846,39.49400828278799,32.60572771317431,52.49001084726503,52.65160258730066,36.77615790041121,36.80472091623284,38.20497570239276,39.60523048855267,41.01641286114669,32.593028971319,41.54043005026139,48.00661594892044
40,Oklahoma,OK,2024,61.84767945695933,61.84767945695933,47.37325812815698,28.91583997604797,53.68714345294521,45.84336497119252,61.046684112442186,56.12109380688613,68.25424995435976,80.3874061018334,31.144116923893375,81.09807068987888,59.15839584649202,44.24238361799282,22.436150980172236,65.21943485401503,45.07156501979118,31.61244213482226,24.04136912804601,39.00856826572587,20.317579283135927,26.36590077773178,48.3287932194717,42.08044910203151,31.38266624947572,20.68488339691993,50.5351994652574,33.62569873880562,35.74583066743027,47.45211325696114
41,Oregon,OR,2024,49.60199100379168,49.60199100379168,55.71726831449581,65.35333878232775,28.86326304081806,43.2386093278881,85.41386210694931,55.277283158528334,45.75040638148802,36.223529604447705,60.121622368515496,50.43294394854118,50.3565552332585,75.81049446300062,91.75216625549146,88.3036181870466,47.37569894646383,65.86143747783497,69.4574457585049,71.40551010324828,60.927407461452425,42.12382257224924,85.39300149372002,39.90912355383334,35.812069796232464,31.715016038631585,44.724291991200715,35.093955116465956,59.161333912356014,54.75894457280725
42,Pennsylvania,PA,2024,45.73495667698616,45.73495667698616,44.5953988613997,56.94706853082656,39.37631577972418,55.99974120858787,26.058469926460187,48.15756822573453,61.941061934487905,75.72455564324129,71.45873442278892,24.856402028680137,50.757139157624586,51.90944181368354,54.9913240846125,60.98300335206784,39.7539980043703,50.88645744349024,66.8006923363597,42.412867285545275,65.77609031554165,50.35212326925631,29.09051401074825,36.623834162468,40.760887952536834,44.89794174260567,39.11853224028207,34.12913608465393,47.85226240323687,49.30470078043073
72,Puerto Rico,PR,2024,NA,NA,40.801713864442384,37.105644693363246,81.31470419195114,36.17010177533185,8.616404797123286,53.79797927166928,53.79797927166928,NA,36.35507653770623,71.24088200563233,NA,NA,NA,NA,NA,23.085671877906034,19.43516247744002,11.562513844047446,61.1979864210935,NA,0.1470247690431754,10.224186696467084,10.224186696467084,NA,20.085312621351544,0.36306077158262584,NA,NA
